name,avg_round,pct_drafted,positions,avg_pick
C,16.0,156.5,Tomas Hertl,86%
G,13.5,156.5,Jhonas Enroth,2%
G,15.7,156.9,Cam Talbot,100%
"C,RW",13.6,157.1,Leo Komarov,4%
G,15.4,157.4,Scott Darling,2%
D,13.5,157.5,Alexander Edler,2%
RW,13.6,157.7,Kevin Hayes,2%
"C,LW",15.9,158.0,Patrick Marleau,98%
C,14.4,158.0,Mikko Koivu,4%
D,16.6,158.1,Niklas Kronwall,74%
D,14.9,158.1,Morgan Rielly,56%
RW,15.8,158.2,Cam Atkinson,100%
LW,14.1,158.6,Nick Foligno,3%
G,14.7,158.7,Jimmy Howard,5%
G,15.7,158.8,Ondrej Pavelec,3%
D,15.3,158.8,Niklas Hjalmarsson,3%
"LW,RW",13.9,159.0,Dustin Brown,6%
D,14.1,159.4,Danny DeKeyser,6%
D,16.9,159.7,Johnny Boychuk,71%
C,16.4,160.1,Vincent Trocheck,79%
LW,15.3,160.2,Carl Hagelin,11%
C,14.3,160.2,Nazem Kadri,6%
LW,16.3,161.1,Chris Kreider,98%
G,15.0,161.1,Jonathan Bernier,2%
D,13.9,161.1,Brenden Dillon,3%
D,14.8,161.1,Dan Hamhuis,2%
D,14.7,161.2,Erik Johnson,15%
D,14.4,161.4,Andrei Markov,57%
C,14.6,161.4,Tomas Plekanec,6%
D,14.5,161.6,Dmitry Orlov,4%
C,15.8,161.7,Derick Brassard,68%
"LW,RW",14.2,161.7,Justin Abdelkader,18%
D,14.3,161.8,Brian Campbell,44%
C,16.2,162.1,Alex Killorn,3%
LW,14.5,162.1,Evander Kane,12%
C,15.8,162.1,Artem Anisimov,3%
"C,RW",14.4,162.1,Charlie Coyle,3%
G,16.3,162.2,Antti Niemi,100%
C,14.7,162.6,Eric Staal,9%
"C,RW",15.3,162.9,William Nylander,28%
D,14.2,163.1,Cody Ceci,17%
D,15.0,163.4,Trevor Daley,8%
"LW,RW",14.6,163.5,David Perron,4%
D,18.8,164.0,Ryan Pulock,47%
C,14.6,164.0,Frans Nielsen,5%
RW,14.5,164.2,Shane Doan,12%
D,15.0,164.2,Oscar Klefbom,6%
D,14.5,164.3,Jason Demers,3%
G,14.2,164.8,Antti Raanta,2%
"C,RW",15.7,165.2,Sam Reinhart,44%
G,16.4,165.5,James Reimer,100%
D,16.2,165.5,Mattias Ekholm,58%
D,14.3,165.7,Ryan Ellis,22%
D,14.3,165.9,Jake Gardiner,9%
C,16.2,166.0,Sam Bennett,3%
D,15.3,166.4,Mike Green,33%
C,16.1,166.6,Ryan Nugent-Hopkins,9%
"C,LW",15.4,166.6,Jordan Staal,4%
RW,14.8,167.0,Reilly Smith,26%
D,15.1,167.0,Adam Larsson,9%
D,14.5,167.3,Jared Spurgeon,5%
G,14.4,167.3,Jacob Markstrom,3%
C,17.4,167.4,Paul Stastny,5%
RW,14.8,167.4,Nail Yakupov,2%
C,19.0,167.5,Bryan Little,38%
"LW,RW",17.0,167.5,Gustav Nyquist,84%
D,14.9,167.5,Alex Goligoski,34%
D,14.9,167.5,Tyler Myers,4%
C,15.5,167.7,Leon Draisaitl,20%
D,14.8,168.0,Dennis Wideman,2%
"LW,RW",15.4,168.2,Nikolaj Ehlers,22%
D,14.4,168.3,Ryan Murray,2%
"C,LW",17.4,168.4,Robby Fabbri,81%
RW,17.4,168.5,Marian Gaborik,4%
"LW,RW",14.9,168.7,Thomas Vanek,5%
"C,LW",15.2,168.7,J.T. Miller,3%
"LW,RW",16.7,168.9,Teuvo Teravainen,15%
D,15.4,168.9,Dan Girardi,2%
C,14.6,169.3,Ryan Spooner,6%
C,15.9,169.3,Victor Rask,2%
LW,17.8,169.4,Chris Kunitz,78%
"LW,RW",15.0,169.4,Marcus Johansson,13%
LW,15.4,169.6,Tomas Tatar,18%
D,14.7,169.6,Noah Hanifin,13%
C,15.3,169.8,Derek Stepan,17%
RW,15.7,169.8,Pierre-Alexandr Parenteau,3%
G,17.5,170.8,Steve Mason,89%
RW,17.2,170.9,Joonas Donskoi,97%
G,19.6,171.3,Andrei Vasilevskiy,34%
C,17.6,171.6,Rickard Rakell,3%
LW,17.6,171.7,Michael Cammalleri,84%
LW,18.4,171.7,Scott Hartnell,29%
"C,RW",15.6,171.8,Jiri Hudler,11%
LW,18.0,172.0,Ondrej Palat,71%
D,22.4,172.1,Zach Bogosian,7%
RW,17.5,172.2,Troy Brouwer,2%
D,22.4,172.3,Kris Russell,28%
D,15.0,172.3,Jacob Trouba,8%
D,15.6,172.3,Radko Gudas,9%
"LW,RW",17.8,172.5,Anthony Duclair,80%
RW,17.5,173.3,David Pastrnak,93%
"C,RW",17.4,173.3,Mika Zibanejad,49%
G,17.5,173.4,Ryan Miller,97%
C,15.6,174.3,Kyle Turris,8%
C,19.7,174.4,Dylan Strome,10%
LW,17.6,174.6,Mikkel Boedker,14%
G,15.6,174.9,Chad Johnson,3%
"LW,RW",15.4,174.9,Lee Stempniak,4%
RW,17.8,175.0,Jakob Silfverberg,89%
G,21.4,175.2,Connor Hellebuyck,14%
G,17.7,176.3,Michal Neuvirth,98%
LW,19.8,176.7,Andre Burakovsky,39%
G,18.2,178.0,Mike Smith,92%
RW,19.1,179.5,Jesse Puljujarvi,43%
RW,18.9,181.0,Jarome Iginla,71%
G,18.8,181.1,Kari Lehtonen,72%
G,22.5,181.5,Cam Ward,28%
