name,season,GP,TOI,G,A,P,SH,SH%,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Andreas Martinsen,20152016,55,609.95,4,7,11,52,7.69,1,3,5.24,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Andrei Loktionov,20132014,68,881.89,7,15,22,78,8.97,154,215,78.06,2.0,4.0,6.0,10.0,C,23.4,182.0,0
Andrei Markov,20132014,81,2028.27,7,36,43,131,5.34,0,0,344.07,2.0,17.0,19.0,43.0,D,14.4,161.4,57%
Andrei Markov,20142015,81,2002.09,10,40,50,135,7.41,0,0,257.58,4.0,20.0,24.0,31.0,D,14.4,161.4,57%
Andrei Markov,20152016,82,1942.13,5,39,44,117,4.27,0,0,276.03,4.0,13.0,17.0,32.0,D,14.4,161.4,57%
Andrej Meszaros,20132014,52,922.79,7,15,22,84,8.33,0,0,63.330000000000005,1.0,1.0,2.0,9.0,D,23.4,182.0,0
Andrej Meszaros,20142015,60,1070.45,7,7,14,67,10.45,0,0,94.65,1.0,0.0,1.0,18.0,D,23.4,182.0,0
Andrej Nestrasil,20142015,54,720.43,7,13,20,82,8.54,55,39,77.24,2.0,2.0,4.0,10.0,C,23.4,182.0,0
Andrej Nestrasil,20152016,55,789.03,9,14,23,105,8.57,8,17,82.11,2.0,0.0,2.0,12.0,C,23.4,182.0,0
Andrej Sekera,20132014,74,1743.56,11,33,44,142,7.75,0,0,202.11,4.0,9.0,13.0,39.0,D,23.4,182.0,0
Andrej Sekera,20142015,73,1601.21,3,20,23,100,3.0,0,0,142.75,1.0,5.0,6.0,17.0,D,23.4,182.0,0
Andrej Sekera,20152016,81,1760.32,6,24,30,155,3.87,0,0,192.75,2.0,11.0,13.0,44.0,D,23.4,182.0,0
Andrej Sustr,20132014,43,677.38,1,7,8,39,2.56,0,0,5.84,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Andrej Sustr,20142015,72,1271.85,0,13,13,55,0.0,0,0,17.41,0.0,1.0,1.0,0.0,D,23.4,182.0,0
Andrej Sustr,20152016,77,1293.88,4,17,21,65,6.15,0,0,16.02,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Andrew Agozzino,20152016,9,77.04,0,2,2,3,0.0,24,21,2.84,0.0,1.0,1.0,0.0,L,23.4,182.0,0
Andrew Alberts,20132014,10,73.85,0,0,0,5,0.0,0,0,0.31,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Andrew Bodnarchuk,20152016,37,456.25,0,4,4,9,0.0,0,0,4.1,0.0,0.0,0.0,0.0,D,23.4,182.0,0
