name,GP,TOI,G,A,P,SH,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
David Schlemko,57.714285714285715,1016.1442857142857,3.857142857142857,9.428571428571429,13.285714285714286,81.0,0.0,0.0,95.36857142857141,0.5714285714285714,7.285714285714286,7.857142857142857,13.571428571428571,D,23.4,182.0,0
David Steckel,6.0,64.99,0.0,0.0,0.0,8.0,44.0,24.0,1.42,0.0,0.0,0.0,0.0,C,23.4,182.0,0
David Warsofsky,14.571428571428571,248.51,0.7142857142857143,1.0,1.7142857142857142,26.285714285714285,0.0,0.0,31.377142857142854,0.5714285714285714,0.5714285714285714,1.1428571428571428,3.5714285714285716,D,23.4,182.0,0
Dean Kukan,8.0,137.36,0.0,0.0,0.0,3.0,0.0,0.0,3.98,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Denis Grebeshkov,7.0,96.0,0.0,1.0,1.0,3.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Dennis Everberg,28.333333333333332,305.46,1.0,3.0,4.0,26.666666666666668,0.0,1.0,7.69,0.0,0.0,0.0,0.6666666666666666,R,23.4,182.0,0
Dennis Rasmussen,44.0,403.29,4.0,5.0,9.0,42.0,144.0,163.0,3.2,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Dennis Seidenberg,63.142857142857146,1295.78,1.5714285714285714,10.714285714285714,12.285714285714286,74.71428571428571,0.0,0.0,22.087142857142858,0.0,0.5714285714285714,0.5714285714285714,1.0,D,23.4,182.0,0
Dennis Wideman,58.57142857142857,1307.1771428571428,6.0,23.857142857142858,29.857142857142858,106.85714285714286,0.0,0.0,178.9442857142857,3.142857142857143,8.0,11.142857142857142,39.857142857142854,D,14.8,168.0,2%
Derek Dorsett,70.42857142857143,862.16,5.428571428571429,12.0,17.428571428571427,87.0,3.7142857142857144,7.0,25.49285714285714,0.0,0.0,0.0,2.142857142857143,R,23.4,182.0,0
Derek Forbort,14.0,154.95,1.0,1.0,2.0,14.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Derek Grant,16.0,168.846,0.0,1.2,1.2,23.8,64.6,54.2,3.938,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Derek Mackenzie,70.14285714285714,886.7028571428572,6.142857142857143,7.0,13.142857142857142,75.71428571428571,442.57142857142856,378.0,23.34714285714286,0.2857142857142857,0.0,0.2857142857142857,2.0,C,23.4,182.0,0
Derek Morris,63.0,1223.21,5.0,12.0,17.0,82.0,0.0,0.0,41.3,0.0,1.0,1.0,7.0,D,23.4,182.0,0
Derek Roy,73.0,1092.1200000000001,11.0,22.666666666666668,33.666666666666664,113.33333333333333,344.3333333333333,417.0,142.05666666666667,4.0,5.333333333333333,9.333333333333334,19.0,C,23.4,182.0,0
Derek Ryan,6.0,73.24,2.0,0.0,2.0,5.0,35.0,24.0,5.81,1.0,0.0,1.0,1.0,C,23.4,182.0,0
Derek Smith,14.0,133.39,0.0,1.0,1.0,12.0,2.0,1.0,0.28,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Derek Stepan,72.28571428571429,1293.064285714286,19.571428571428573,34.57142857142857,54.142857142857146,182.28571428571428,546.7142857142857,651.2857142857143,183.0614285714286,4.285714285714286,9.0,13.285714285714286,30.857142857142858,C,15.3,169.8,17%
Derick Brassard,80.14285714285714,1395.662857142857,23.428571428571427,33.285714285714285,56.714285714285715,174.71428571428572,644.8571428571429,656.8571428571429,214.13714285714286,7.0,11.285714285714286,18.285714285714285,40.714285714285715,C,15.8,161.7,68%
Derrick Pouliot,26.0,423.35666666666674,0.6666666666666666,6.333333333333333,7.0,35.333333333333336,0.0,0.0,44.25333333333333,0.3333333333333333,1.0,1.3333333333333333,7.333333333333333,D,23.4,182.0,0
Deryk Engelland,69.14285714285714,1015.6742857142857,3.142857142857143,8.571428571428571,11.714285714285714,63.57142857142857,0.0,0.0,8.848571428571429,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,D,23.4,182.0,0
Devante Smith-Pelly,60.42857142857143,782.8142857142858,10.0,11.428571428571429,21.428571428571427,86.71428571428571,7.714285714285714,19.428571428571427,55.059999999999995,0.0,0.8571428571428571,0.8571428571428571,5.142857142857143,R,23.4,182.0,0
Devin Setoguchi,33.0,472.81666666666666,3.6666666666666665,5.333333333333333,9.0,51.0,2.3333333333333335,5.666666666666667,58.373333333333335,0.6666666666666666,0.3333333333333333,1.0,7.666666666666667,R,23.4,182.0,0
Dion Phaneuf,72.0,1641.75,4.285714285714286,26.714285714285715,31.0,142.42857142857142,0.0,0.14285714285714285,220.70857142857145,0.5714285714285714,10.0,10.571428571428571,30.142857142857142,D,15.7,154.6,93%
Dmitrij Jaskin,55.142857142857146,674.7257142857143,6.142857142857143,6.714285714285714,12.857142857142858,86.0,5.571428571428571,12.714285714285714,32.40714285714286,0.8571428571428571,0.0,0.8571428571428571,4.857142857142857,R,23.4,182.0,0
Dmitry Kulikov,74.71428571428571,1581.2985714285714,2.5714285714285716,16.142857142857142,18.714285714285715,98.42857142857143,0.0,0.0,129.89714285714285,0.5714285714285714,4.714285714285714,5.285714285714286,15.714285714285714,D,23.4,182.0,0
Dmitry Orlov,76.4,1260.34,7.0,18.4,25.4,83.8,0.0,0.0,48.153999999999996,0.0,1.0,1.0,3.6,D,14.5,161.6,4%
Dominic Moore,79.57142857142857,1052.3542857142859,7.142857142857143,11.714285714285714,18.857142857142858,100.57142857142857,489.7142857142857,401.7142857142857,14.528571428571428,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,C,7.9,88.9,7%
Dougie Hamilton,76.57142857142857,1533.7885714285715,10.714285714285714,29.428571428571427,40.142857142857146,178.57142857142858,0.0,0.0,184.76714285714283,4.571428571428571,8.857142857142858,13.428571428571429,46.0,D,11.0,106.8,100%
Douglas Murray,53.0,757.95,0.0,2.0,2.0,26.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Drayson Bowman,70.0,724.37,4.0,8.0,12.0,80.0,6.0,4.0,32.940000000000005,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Drew Doughty,81.42857142857143,2262.2971428571427,11.428571428571429,36.142857142857146,47.57142857142857,200.42857142857142,0.0,0.2857142857142857,270.21285714285716,6.285714285714286,13.428571428571429,19.714285714285715,56.285714285714285,D,4.8,43.6,100%
Drew Miller,51.142857142857146,685.5328571428571,3.0,4.0,7.0,60.142857142857146,3.5714285714285716,6.285714285714286,16.325714285714287,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Drew Shore,15.333333333333334,174.24333333333334,2.3333333333333335,2.0,4.333333333333333,16.333333333333332,48.0,60.666666666666664,9.663333333333334,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,C,23.4,182.0,0
