name,positions,avg_pick,avg_round,pct_drafted
Antti Niemi,G,162.2,13.9,9
Jeff Petry,D,162.2,13.8,5
Johnny Boychuk,D,162.5,14.1,7
Michael Frolik,R,162.7,14.3,2
Patrick Eaves,R,162.8,14.1,7
Alexander Wennberg,C,163.2,16.1,89
Ryan Miller,G,163.3,15.2,12
Nathan Beaulieu,D,163.5,17.8,2
Antti Raanta,G,163.7,15.6,33
Esa Lindell,D,164.0,14.3,2
Cam Ward,G,164.6,14.3,4
Vadim Shipachyov,CL,164.7,16.5,96
Juuse Saros,G,164.7,14.3,4
Mikko Koivu,C,164.9,14.2,23
Sam Reinhart,CR,165.1,16.2,99
Josh Manson,D,165.4,16.1,96
David Backes,R,165.4,14.2,8
Thomas Greiss,G,165.8,16.2,100
J.T. Miller,LR,166.4,14.5,28
Anton Forsberg,G,166.5,20.3,4
Radko Gudas,D,166.6,14.4,10
Nikita Zaitsev,D,166.7,16.3,92
Thomas Chabot,D,166.8,14.3,2
Max Domi,L,167.2,16.4,85
Daniel Sedin,L,168.1,14.8,19
Jonathan Marchessault,CL,168.2,15.0,19
Bobby Ryan,R,168.5,15.7,8
Ryan Nugent-Hopkins,C,168.5,14.5,2
Ivan Provorov,D,168.9,16.7,88
Michael Cammalleri,CL,169.0,14.3,2
Ryan Strome,CR,169.1,17.6,25
Anthony DeAngelo,D,169.2,15.9,5
Kyle Okposo,R,169.6,17.0,79
Patrick Maroon,L,169.9,17.0,89
Henrik Sedin,C,169.9,14.6,4
Anders Nilsson,G,170.0,14.7,2
Andrej Sekera,D,170.2,14.5,7
Dion Phaneuf,D,170.5,18.2,46
Derek Stepan,C,170.7,18.9,14
Boone Jenner,CL,170.7,15.2,11
Leo Komarov,CL,170.7,20.0,2
Brayden Point,CR,170.9,14.6,5
Vincent Trocheck,C,171.0,18.3,43
Justin Williams,R,171.0,14.7,8
Alexander Steen,CL,171.1,16.9,84
Nick Holden,D,171.1,18.6,4
Clayton Keller,C,171.3,20.0,2
Tyler Johnson,C,171.5,17.6,61
Gabriel Landeskog,L,171.7,17.3,62
Evgenii Dadonov,R,172.0,17.0,90
Noah Hanifin,D,172.2,14.9,7
Michael Grabner,LR,172.5,14.8,8
Brendan Gallagher,R,172.6,17.4,78
Richard Panik,LR,172.6,15.7,14
Charlie Coyle,CR,173.1,15.5,12
