"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"613","DAMIEN.BRUNNER","20132014","Regular","C","N.J",60,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"614","DAMIEN.BRUNNER","20142015","Regular","C","N.J",17,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"615","DAMON.SEVERSON","20142015","Regular","D","N.J",51,60.75,0,0,0,0,0,0,0,0,0,0,0,0,3,2.96,0,3,2.96,0,2,1.98,0,0.12,0.12,3.89,0,0,0,0,0,0,2,0,0,NA,0,0,0,0,1,49.37
"616","DAMON.SEVERSON","20152016","Regular","D","N.J",72,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,2,0,0,0,1,0,0,NA,1,0,-1,0,0,NA
"617","DANA.TYRELL","20132014","Regular","C","T.B",7,9.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"618","DANA.TYRELL","20142015","Regular","C","CBJ",3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"619","DAN.BOYLE","20132014","Regular","D","S.J",75,32.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,2,0,0,NA,0,0,0,0,0,NA
"620","DAN.BOYLE","20142015","Regular","D","NYR",65,62.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,3,1,1,2,4,0,0,NA,2,0,-2,0,0,NA
"621","DAN.BOYLE","20152016","Regular","D","NYR",74,58.28,0,0,0,0,0,0,0,0,0,0,0,0,2,2.06,0,1,1.03,0,0,0,NA,0.03,0.03,3.3,0,0,2,1,0,0,9,0,0,NA,0,0,0,0,0,29.73
"622","DAN.CARCILLO","20132014","Regular","L","L.A/NYR",57,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"623","DAN.CARCILLO","20142015","Regular","L","CHI",39,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,NA
"624","DAN.CLEARY","20132014","Regular","R","DET",52,85.58,0,1,0,1,1,1,0,0.7,0,0.7,0.7,0.7,3,2.1,0,3,2.1,0,3,2.1,0,0.3,0.21,10.03,1,0.7,3,4,1,4,3,1,1,50,1,1,0,0,1,14.58
"625","DAN.CLEARY","20142015","Regular","R","DET",17,6.57,0,0,0,0,0,0,0,0,0,0,0,0,1,9.13,0,1,9.13,0,1,9.13,0,0.06,0.51,5.55,0,0,1,0,0,0,2,0,0,NA,0,0,0,0,0,31.78
"626","DAN.GIRARDI","20132014","Regular","D","NYR",81,221.21,0,0,2,2,2,0,0,0,0.54,0.54,0.54,0,2,0.54,0,2,0.54,0,2,0.54,0,0.05,0.01,2.62,0,0,19,3,7,3,32,0,0,NA,1,3,2,0,0,40.68
"627","DAN.GIRARDI","20142015","Regular","D","NYR",82,226.04,0,0,1,1,1,0,0,0,0.27,0.27,0.27,0,6,1.59,0,5,1.33,0,5,1.33,0,0.19,0.05,3.72,0,0,27,6,5,6,19,0,0,NA,1,1,0,0,2,40.67
"628","DAN.GIRARDI","20152016","Regular","D","NYR",74,202.88,0,0,1,1,1,0,0,0,0.3,0.3,0.3,0,1,0.3,0,1,0.3,0,1,0.3,0,0.02,0.01,2.05,0,0,14,3,5,2,36,0,0,NA,1,1,0,0,0,52.33
"629","DAN.HAMHUIS","20132014","Regular","D","VAN",79,243.63,0,0,0,0,0,0,0,0,0,0,0,0,3,0.74,0,3,0.74,0,2,0.49,0,0.08,0.02,2.69,0,0,8,8,9,11,20,0,0,NA,1,3,2,0,0,54.98
"630","DAN.HAMHUIS","20142015","Regular","D","VAN",59,139.19,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43,0,1,0.43,0,1,0.43,0,0.05,0.02,4.93,0,0,13,6,5,4,10,0,0,NA,0,0,0,0,0,37.48
"631","DAN.HAMHUIS","20152016","Regular","D","VAN",58,146.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0.41,0,0,0,NA,0,0,NA,0,0,NA,0,0,11,2,6,3,22,0,0,NA,2,0,-2,0,0,NA
"632","DANIEL.ALFREDSSON","20132014","Regular","R","DET",68,21.16,0,0,0,0,0,0,0,0,0,0,0,0,1,2.84,0,1,2.84,0,0,0,NA,0.04,0.13,4.48,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,39.32
"633","DANIEL.BRIERE","20132014","Regular","C","MTL",69,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"634","DANIEL.BRIERE","20142015","Regular","C","COL",57,3.47,0,0,0,0,0,0,0,0,0,0,0,0,1,17.29,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,NA
"635","DANIEL.CARR","20152016","Regular","L","MTL",23,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"636","DANIEL.PAILLE","20132014","Regular","L","BOS",72,109.7,1,0,0,0,1,1,0.55,0,0,0,0.55,0.55,16,8.75,6.25,13,7.11,7.69,10,5.47,10,1.45,0.79,11.14,6,3.28,3,5,2,5,8,0,0,NA,0,3,3,0,2,24.65
"637","DANIEL.PAILLE","20142015","Regular","L","BOS",71,102.4,1,1,0,1,2,2,0.59,0.59,0,0.59,1.17,1.17,11,6.45,9.09,11,6.45,9.09,6,3.52,16.67,0.63,0.37,5.75,3,1.76,4,1,2,7,7,0,0,NA,0,0,0,0,1,35.85
"638","DANIEL.PAILLE","20152016","Regular","L","NYR",12,19.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,1,0,0,1,1,0,0,NA,0,0,0,0,0,NA
"639","DANIEL.SEDIN","20132014","Regular","L","VAN",73,83.52,0,0,0,0,0,0,0,0,0,0,0,0,9,6.47,0,7,5.03,0,5,3.59,0,0.41,0.29,5.82,2,1.44,1,1,2,3,2,0,1,0,0,1,1,1,1,37.14
"640","DANIEL.SEDIN","20142015","Regular","L","VAN",82,81.24,0,0,0,0,0,0,0,0,0,0,0,0,10,7.39,0,9,6.65,0,7,5.17,0,0.59,0.43,6.52,2,1.48,1,2,1,2,1,0,0,NA,1,0,-1,0,1,27.5
"641","DANIEL.SEDIN","20152016","Regular","L","VAN",82,58.79,0,1,0,1,1,1,0,1.02,0,1.02,1.02,1.02,2,2.04,0,2,2.04,0,1,1.02,0,0.16,0.16,7.86,0,0,1,3,0,2,3,1,0,100,0,0,0,0,0,26.73
"642","DANIEL.SPRONG","20152016","Regular","R","PIT",18,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"643","DANIEL.WINNIK","20132014","Regular","C","ANA",76,186.21,2,2,0,2,4,4,0.64,0.64,0,0.64,1.29,1.29,8,2.58,25,7,2.26,28.57,4,1.29,50,1.1,0.35,15.65,4,1.29,0,8,2,12,20,8,20,28.57,1,2,1,0,3,20.26
"644","DANIEL.WINNIK","20142015","Regular","C","PIT/TOR",79,248.06,0,1,0,1,1,1,0,0.24,0,0.24,0.24,0.24,14,3.39,0,10,2.42,0,6,1.45,0,0.51,0.12,5.07,1,0.24,1,9,2,11,19,45,56,44.55,1,5,4,1,1,25.96
"645","DANIEL.WINNIK","20152016","Regular","C","TOR/WSH",76,140.77,0,0,0,0,0,0,0,0,0,0,0,0,5,2.13,0,3,1.28,0,3,1.28,0,0.43,0.18,14.42,2,0.85,1,8,0,5,14,2,5,28.57,1,2,1,1,1,23.76
"646","DANIIL.TARASOV","20142015","Regular","C","S.J",5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"647","DANNY.BIEGA","20142015","Regular","D","CAR",10,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
